,hotel_id,date,city,accommodation_type,stars,rating,distance,price,lnprice
51,11,2017-NOV-weekend,Amsterdam,Hotel,3.0,3.7,2.2,167,5.117993812416755
54,11,2017-DEC-holiday,Amsterdam,Hotel,3.0,3.7,2.2,100,4.605170185988092
57,12,2018-JUNE-weekend,Amsterdam,Hotel,2.0,3.0,1.2,185,5.220355825078324
58,12,2017-NOV-weekday,Amsterdam,Hotel,2.0,3.0,1.2,92,4.5217885770490405
64,12,2017-DEC-holiday,Amsterdam,Hotel,2.0,3.0,1.2,157,5.056245805348308
66,14,2017-NOV-weekday,Amsterdam,Hotel,4.0,3.7,1.7,130,4.867534450455582
70,14,2017-DEC-holiday,Amsterdam,Hotel,4.0,3.7,1.7,141,4.948759890378168
74,15,2018-JUNE-weekend,Amsterdam,Hotel,4.0,4.5,1.7,387,5.958424693029782
76,15,2017-NOV-weekday,Amsterdam,Hotel,4.0,4.5,1.7,132,4.882801922586371
77,15,2017-DEC-holiday,Amsterdam,Hotel,4.0,4.5,1.7,161,5.081404364984463
80,16,2017-NOV-weekday,Amsterdam,Hotel,5.0,4.4,1.7,207,5.332718793265369
82,16,2018-JUNE-weekend,Amsterdam,Hotel,5.0,4.4,1.7,254,5.537334267018537
87,16,2017-DEC-holiday,Amsterdam,Hotel,5.0,4.4,1.7,207,5.332718793265369
88,16,2017-NOV-weekend,Amsterdam,Hotel,5.0,4.4,1.7,242,5.488937726156687
90,17,2017-DEC-holiday,Amsterdam,Hotel,4.0,4.1,1.7,134,4.897839799950911
91,17,2017-NOV-weekday,Amsterdam,Hotel,4.0,4.1,1.7,172,5.147494476813453
92,17,2018-JUNE-weekend,Amsterdam,Hotel,4.0,4.1,1.7,433,6.07073772800249
93,17,2017-NOV-weekend,Amsterdam,Hotel,4.0,4.1,1.7,208,5.337538079701318
102,18,2017-NOV-weekday,Amsterdam,Hotel,3.0,3.7,1.8,91,4.51085950651685
104,18,2017-DEC-holiday,Amsterdam,Hotel,3.0,3.7,1.8,128,4.852030263919617
105,19,2017-NOV-weekend,Amsterdam,Hotel,5.0,4.1,1.7,219,5.389071729816501
108,19,2017-DEC-holiday,Amsterdam,Hotel,5.0,4.1,1.7,156,5.049856007249537
110,19,2017-NOV-weekday,Amsterdam,Hotel,5.0,4.1,1.7,149,5.003946305945459
115,20,2017-DEC-holiday,Amsterdam,Hotel,3.5,4.5,2.2,102,4.624972813284271
116,20,2018-JUNE-weekend,Amsterdam,Hotel,3.5,4.5,2.2,114,4.736198448394496
118,20,2017-NOV-weekday,Amsterdam,Hotel,3.5,4.5,2.2,102,4.624972813284271
120,21,2018-JUNE-weekend,Amsterdam,Hotel,3.5,3.9,2.4,242,5.488937726156687
121,21,2017-DEC-holiday,Amsterdam,Hotel,3.5,3.9,2.4,97,4.574710978503383
125,21,2017-NOV-weekday,Amsterdam,Hotel,3.5,3.9,2.4,103,4.634728988229636
127,22,2017-NOV-weekday,Amsterdam,Hotel,4.0,4.5,2.3,153,5.030437921392435
128,22,2017-NOV-weekend,Amsterdam,Hotel,4.0,4.5,2.3,175,5.1647859739235145
133,22,2017-DEC-holiday,Amsterdam,Hotel,4.0,4.5,2.3,134,4.897839799950911
140,24,2017-NOV-weekend,Amsterdam,Hotel,4.0,4.5,2.9,184,5.214935757608986
146,24,2017-NOV-weekday,Amsterdam,Hotel,4.0,4.5,2.9,207,5.332718793265369
147,24,2018-JUNE-weekend,Amsterdam,Hotel,4.0,4.5,2.9,358,5.8805329864007
148,24,2017-DEC-holiday,Amsterdam,Hotel,4.0,4.5,2.9,186,5.225746673713202
153,25,2017-DEC-holiday,Amsterdam,Hotel,2.0,2.9,1.8,128,4.852030263919617
154,25,2017-NOV-weekday,Amsterdam,Hotel,2.0,2.9,1.8,66,4.189654742026425
160,26,2017-DEC-holiday,Amsterdam,Hotel,4.0,4.0,2.7,111,4.709530201312334
162,26,2017-NOV-weekday,Amsterdam,Hotel,4.0,4.0,2.7,156,5.049856007249537
163,26,2017-NOV-weekend,Amsterdam,Hotel,4.0,4.0,2.7,177,5.176149732573829
164,27,2018-JUNE-weekend,Amsterdam,Hotel,4.0,4.5,2.6,207,5.332718793265369
165,27,2017-NOV-weekend,Amsterdam,Hotel,4.0,4.5,2.6,176,5.170483995038151
166,27,2017-DEC-holiday,Amsterdam,Hotel,4.0,4.5,2.6,124,4.820281565605037
171,27,2017-NOV-weekday,Amsterdam,Hotel,4.0,4.5,2.6,94,4.543294782270004
174,28,2017-DEC-holiday,Amsterdam,Hotel,4.0,4.0,2.7,114,4.736198448394496
177,28,2017-NOV-weekend,Amsterdam,Hotel,4.0,4.0,2.7,126,4.836281906951478
178,28,2017-NOV-weekday,Amsterdam,Hotel,4.0,4.0,2.7,138,4.927253685157205
183,29,2018-JUNE-weekend,Amsterdam,Hotel,4.0,4.6,2.7,145,4.976733742420574
184,29,2017-DEC-holiday,Amsterdam,Hotel,4.0,4.6,2.7,176,5.170483995038151
185,30,2017-DEC-holiday,Amsterdam,Hotel,3.0,4.0,3.3,164,5.099866427824199
186,30,2018-JUNE-weekend,Amsterdam,Hotel,3.0,4.0,3.3,175,5.1647859739235145
188,30,2017-NOV-weekday,Amsterdam,Hotel,3.0,4.0,3.3,164,5.099866427824199
189,30,2017-NOV-weekend,Amsterdam,Hotel,3.0,4.0,3.3,208,5.337538079701318
196,31,2017-NOV-weekday,Amsterdam,Hotel,4.0,4.0,3.2,122,4.804021044733257
197,31,2017-NOV-weekend,Amsterdam,Hotel,4.0,4.0,3.2,136,4.912654885736052
200,31,2017-DEC-holiday,Amsterdam,Hotel,4.0,4.0,3.2,111,4.709530201312334
202,32,2017-NOV-weekday,Amsterdam,Hotel,3.0,3.5,1.9,126,4.836281906951478
203,32,2017-DEC-holiday,Amsterdam,Hotel,3.0,3.5,1.9,110,4.700480365792417
204,33,2017-NOV-weekday,Amsterdam,Hotel,3.0,3.0,2.7,63,4.143134726391533
206,33,2017-DEC-holiday,Amsterdam,Hotel,3.0,3.0,2.7,100,4.605170185988092
208,34,2017-NOV-weekday,Amsterdam,Hotel,3.0,4.3,3.4,161,5.081404364984463
209,34,2018-JUNE-weekend,Amsterdam,Hotel,3.0,4.3,3.4,240,5.480638923341991
211,34,2017-NOV-weekend,Amsterdam,Hotel,3.0,4.3,3.4,215,5.3706380281276624
214,34,2017-DEC-holiday,Amsterdam,Hotel,3.0,4.3,3.4,107,4.672828834461906
216,36,2017-NOV-weekend,Amsterdam,Hotel,2.0,3.9,4.7,149,5.003946305945459
217,36,2017-NOV-weekday,Amsterdam,Hotel,2.0,3.9,4.7,66,4.189654742026425
219,36,2017-DEC-holiday,Amsterdam,Hotel,2.0,3.9,4.7,76,4.330733340286331
224,37,2017-NOV-weekend,Amsterdam,Hotel,3.5,4.5,4.5,160,5.075173815233827
225,37,2017-NOV-weekday,Amsterdam,Hotel,3.5,4.5,4.5,160,5.075173815233827
227,37,2017-DEC-holiday,Amsterdam,Hotel,3.5,4.5,4.5,151,5.017279836814924
228,38,2018-JUNE-weekend,Amsterdam,Hotel,3.0,4.3,4.8,225,5.41610040220442
230,38,2017-NOV-weekend,Amsterdam,Hotel,3.0,4.3,4.8,187,5.231108616854587
231,38,2017-DEC-holiday,Amsterdam,Hotel,3.0,4.3,4.8,97,4.574710978503383
236,38,2017-NOV-weekday,Amsterdam,Hotel,3.0,4.3,4.8,176,5.170483995038151
247,40,2017-NOV-weekend,Amsterdam,Hotel,4.0,4.3,4.9,176,5.170483995038151
249,40,2017-DEC-holiday,Amsterdam,Hotel,4.0,4.3,4.9,156,5.049856007249537
250,40,2017-NOV-weekday,Amsterdam,Hotel,4.0,4.3,4.9,300,5.703782474656201
256,40,2018-JUNE-weekend,Amsterdam,Hotel,4.0,4.3,4.9,206,5.327876168789581
259,41,2018-JUNE-weekend,Amsterdam,Hotel,4.0,4.3,4.8,258,5.552959584921617
261,41,2017-DEC-holiday,Amsterdam,Hotel,4.0,4.3,4.8,104,4.6443908991413725
262,41,2017-NOV-weekday,Amsterdam,Hotel,4.0,4.3,4.8,138,4.927253685157205
263,41,2017-NOV-weekend,Amsterdam,Hotel,4.0,4.3,4.8,142,4.955827057601261
266,42,2017-NOV-weekend,Amsterdam,Hotel,3.0,4.1,4.9,152,5.0238805208462765
270,42,2017-DEC-holiday,Amsterdam,Hotel,3.0,4.1,4.9,103,4.634728988229636
271,42,2018-JUNE-weekend,Amsterdam,Hotel,3.0,4.1,4.9,243,5.493061443340548
273,42,2017-NOV-weekday,Amsterdam,Hotel,3.0,4.1,4.9,120,4.787491742782046
275,43,2017-DEC-holiday,Amsterdam,Hotel,3.0,3.5,5.3,116,4.7535901911063645
277,43,2017-NOV-weekday,Amsterdam,Hotel,3.0,3.5,5.3,104,4.6443908991413725
279,44,2017-DEC-holiday,Amsterdam,Hotel,3.5,4.0,5.3,80,4.382026634673881
280,44,2018-JUNE-weekend,Amsterdam,Hotel,3.5,4.0,5.3,184,5.214935757608986
286,44,2017-NOV-weekend,Amsterdam,Hotel,3.5,4.0,5.3,207,5.332718793265369
287,44,2017-NOV-weekday,Amsterdam,Hotel,3.5,4.0,5.3,80,4.382026634673881
289,45,2017-NOV-weekend,Amsterdam,Hotel,4.0,3.7,5.2,237,5.4680601411351315
292,45,2017-NOV-weekday,Amsterdam,Hotel,4.0,3.7,5.2,168,5.123963979403259
294,45,2017-DEC-holiday,Amsterdam,Hotel,4.0,3.7,5.2,106,4.663439094112067
297,45,2018-JUNE-weekend,Amsterdam,Hotel,4.0,3.7,5.2,258,5.552959584921617
298,46,2017-NOV-weekday,Amsterdam,Hotel,3.0,3.5,5.8,77,4.343805421853684
300,46,2017-DEC-holiday,Amsterdam,Hotel,3.0,3.5,5.8,68,4.219507705176107
301,46,2018-JUNE-weekend,Amsterdam,Hotel,3.0,3.5,5.8,117,4.762173934797756
306,47,2017-NOV-weekend,Amsterdam,Hotel,4.0,3.7,5.9,115,4.74493212836325
307,47,2017-DEC-holiday,Amsterdam,Hotel,4.0,3.7,5.9,99,4.59511985013459
308,47,2018-JUNE-weekend,Amsterdam,Hotel,4.0,3.7,5.9,88,4.477336814478207
310,47,2017-NOV-weekday,Amsterdam,Hotel,4.0,3.7,5.9,102,4.624972813284271
313,48,2017-DEC-holiday,Amsterdam,Hotel,4.0,4.0,6.0,103,4.634728988229636
314,48,2017-NOV-weekday,Amsterdam,Hotel,4.0,4.0,6.0,138,4.927253685157205
316,48,2017-NOV-weekend,Amsterdam,Hotel,4.0,4.0,6.0,196,5.278114659230517
317,48,2018-JUNE-weekend,Amsterdam,Hotel,4.0,4.0,6.0,231,5.442417710521793
321,49,2017-DEC-holiday,Amsterdam,Hotel,2.0,3.2,0.8,127,4.844187086458591
323,49,2017-NOV-weekday,Amsterdam,Hotel,2.0,3.2,0.8,74,4.30406509320417
324,50,2017-NOV-weekend,Amsterdam,Hotel,3.5,4.5,2.6,176,5.170483995038151
326,50,2017-DEC-holiday,Amsterdam,Hotel,3.5,4.5,2.6,115,4.74493212836325
328,50,2017-NOV-weekday,Amsterdam,Hotel,3.5,4.5,2.6,90,4.499809670330265
331,50,2018-JUNE-weekend,Amsterdam,Hotel,3.5,4.5,2.6,234,5.455321115357702
332,51,2017-DEC-holiday,Amsterdam,Hotel,4.0,4.5,1.2,180,5.19295685089021
333,51,2017-NOV-weekday,Amsterdam,Hotel,4.0,4.5,1.2,133,4.890349128221754
335,52,2017-DEC-holiday,Amsterdam,Hotel,2.5,4.5,1.1,78,4.356708826689592
336,52,2017-NOV-weekday,Amsterdam,Hotel,2.5,4.5,1.1,82,4.406719247264253
342,54,2017-NOV-weekday,Amsterdam,Hotel,3.0,4.1,1.1,135,4.90527477843843
343,54,2017-DEC-holiday,Amsterdam,Hotel,3.0,4.1,1.1,170,5.135798437050262
344,55,2017-NOV-weekday,Amsterdam,Hotel,2.0,4.3,1.0,133,4.890349128221754
346,57,2017-NOV-weekday,Amsterdam,Hotel,4.0,3.9,1.0,186,5.225746673713202
347,57,2017-DEC-holiday,Amsterdam,Hotel,4.0,3.9,1.0,131,4.875197323201151
349,58,2017-DEC-holiday,Amsterdam,Hotel,3.0,3.7,1.0,179,5.187385805840755
351,58,2017-NOV-weekend,Amsterdam,Hotel,3.0,3.7,1.0,330,5.799092654460526
353,58,2017-NOV-weekday,Amsterdam,Hotel,3.0,3.7,1.0,110,4.700480365792417
354,59,2017-NOV-weekday,Amsterdam,Hotel,3.5,4.0,1.0,133,4.890349128221754
355,59,2017-NOV-weekend,Amsterdam,Hotel,3.5,4.0,1.0,241,5.484796933490655
356,59,2017-DEC-holiday,Amsterdam,Hotel,3.5,4.0,1.0,162,5.087596335232384
359,60,2017-NOV-weekday,Amsterdam,Hotel,3.0,3.5,5.2,80,4.382026634673881
365,60,2017-DEC-holiday,Amsterdam,Hotel,3.0,3.5,5.2,80,4.382026634673881
366,60,2018-JUNE-weekend,Amsterdam,Hotel,3.0,3.5,5.2,114,4.736198448394496
367,60,2017-NOV-weekend,Amsterdam,Hotel,3.0,3.5,5.2,128,4.852030263919617
368,61,2017-NOV-weekend,Amsterdam,Hotel,3.0,4.1,2.6,165,5.10594547390058
370,61,2017-DEC-holiday,Amsterdam,Hotel,3.0,4.1,2.6,102,4.624972813284271
371,61,2018-JUNE-weekend,Amsterdam,Hotel,3.0,4.1,2.6,165,5.10594547390058
373,61,2017-NOV-weekday,Amsterdam,Hotel,3.0,4.1,2.6,69,4.23410650459726
379,62,2017-DEC-holiday,Amsterdam,Hotel,4.0,4.5,2.3,123,4.812184355372417
380,62,2017-NOV-weekday,Amsterdam,Hotel,4.0,4.5,2.3,133,4.890349128221754
383,63,2017-NOV-weekday,Amsterdam,Hotel,3.0,3.5,2.3,91,4.51085950651685
384,63,2017-DEC-holiday,Amsterdam,Hotel,3.0,3.5,2.3,117,4.762173934797756
385,63,2017-NOV-weekend,Amsterdam,Hotel,3.0,3.5,2.3,155,5.043425116919247
389,64,2017-NOV-weekday,Amsterdam,Hotel,2.5,4.5,1.4,114,4.736198448394496
393,64,2017-DEC-holiday,Amsterdam,Hotel,2.5,4.5,1.4,114,4.736198448394496
395,64,2018-JUNE-weekend,Amsterdam,Hotel,2.5,4.5,1.4,196,5.278114659230517
399,65,2017-NOV-weekend,Amsterdam,Hotel,3.0,3.9,2.4,186,5.225746673713202
402,65,2017-DEC-holiday,Amsterdam,Hotel,3.0,3.9,2.4,109,4.6913478822291435
404,65,2017-NOV-weekday,Amsterdam,Hotel,3.0,3.9,2.4,101,4.61512051684126
406,66,2017-DEC-holiday,Amsterdam,Hotel,4.0,4.0,3.6,88,4.477336814478207
410,66,2017-NOV-weekday,Amsterdam,Hotel,4.0,4.0,3.6,114,4.736198448394496
412,68,2018-JUNE-weekend,Amsterdam,Hotel,4.0,,2.4,175,5.1647859739235145
415,69,2017-NOV-weekend,Amsterdam,Hotel,4.0,3.9,2.0,176,5.170483995038151
416,69,2017-DEC-holiday,Amsterdam,Hotel,4.0,3.9,2.0,113,4.727387818712341
419,69,2018-JUNE-weekend,Amsterdam,Hotel,4.0,3.9,2.0,197,5.2832037287379885
424,69,2017-NOV-weekday,Amsterdam,Hotel,4.0,3.9,2.0,84,4.430816798843313
425,70,2018-JUNE-weekend,Amsterdam,Hotel,4.0,4.3,2.1,207,5.332718793265369
429,70,2017-NOV-weekday,Amsterdam,Hotel,4.0,4.3,2.1,94,4.543294782270004
430,70,2017-DEC-holiday,Amsterdam,Hotel,4.0,4.3,2.1,124,4.820281565605037
432,70,2017-NOV-weekend,Amsterdam,Hotel,4.0,4.3,2.1,176,5.170483995038151
435,71,2017-NOV-weekend,Amsterdam,Hotel,4.0,4.1,2.6,184,5.214935757608986
438,71,2017-NOV-weekday,Amsterdam,Hotel,4.0,4.1,2.6,103,4.634728988229636
441,71,2017-DEC-holiday,Amsterdam,Hotel,4.0,4.1,2.6,121,4.795790545596741
443,71,2018-JUNE-weekend,Amsterdam,Hotel,4.0,4.1,2.6,196,5.278114659230517
451,73,2017-NOV-weekday,Amsterdam,Hotel,3.0,3.7,0.8,127,4.844187086458591
453,73,2017-DEC-holiday,Amsterdam,Hotel,3.0,3.7,0.8,118,4.770684624465665
459,75,2017-DEC-holiday,Amsterdam,Hotel,3.0,4.0,3.9,84,4.430816798843313
460,75,2017-NOV-weekend,Amsterdam,Hotel,3.0,4.0,3.9,182,5.204006687076795
462,75,2017-NOV-weekday,Amsterdam,Hotel,3.0,4.0,3.9,72,4.276666119016055
463,75,2018-JUNE-weekend,Amsterdam,Hotel,3.0,4.0,3.9,187,5.231108616854587
465,76,2017-NOV-weekday,Amsterdam,Hotel,4.0,4.0,4.0,114,4.736198448394496
467,76,2017-DEC-holiday,Amsterdam,Hotel,4.0,4.0,4.0,72,4.276666119016055
469,76,2018-JUNE-weekend,Amsterdam,Hotel,4.0,4.0,4.0,104,4.6443908991413725
473,78,2017-DEC-holiday,Amsterdam,Hotel,3.0,3.7,4.2,107,4.672828834461906
474,78,2017-NOV-weekday,Amsterdam,Hotel,3.0,3.7,4.2,68,4.219507705176107
485,80,2018-JUNE-weekend,Amsterdam,Hotel,4.0,2.4,3.0,192,5.2574953720277815
490,80,2017-NOV-weekday,Amsterdam,Hotel,4.0,2.4,3.0,74,4.30406509320417
491,80,2017-NOV-weekend,Amsterdam,Hotel,4.0,2.4,3.0,155,5.043425116919247
493,80,2017-DEC-holiday,Amsterdam,Hotel,4.0,2.4,3.0,108,4.68213122712422
495,81,2017-DEC-holiday,Amsterdam,Hotel,3.0,4.4,1.7,111,4.709530201312334
496,81,2018-JUNE-weekend,Amsterdam,Hotel,3.0,4.4,1.7,237,5.4680601411351315
498,81,2017-NOV-weekday,Amsterdam,Hotel,3.0,4.4,1.7,111,4.709530201312334
499,82,2017-DEC-holiday,Amsterdam,Hotel,4.0,4.4,1.7,117,4.762173934797756
502,82,2017-NOV-weekday,Amsterdam,Hotel,4.0,4.4,1.7,117,4.762173934797756
503,82,2018-JUNE-weekend,Amsterdam,Hotel,4.0,4.4,1.7,258,5.552959584921617
505,83,2017-NOV-weekday,Amsterdam,Hotel,4.0,4.3,2.1,107,4.672828834461906
509,83,2018-JUNE-weekend,Amsterdam,Hotel,4.0,4.3,2.1,197,5.2832037287379885
510,83,2017-DEC-holiday,Amsterdam,Hotel,4.0,4.3,2.1,126,4.836281906951478
511,83,2017-NOV-weekend,Amsterdam,Hotel,4.0,4.3,2.1,224,5.4116460518550396
514,84,2017-DEC-holiday,Amsterdam,Hotel,3.0,4.5,2.4,125,4.8283137373023015
515,84,2017-NOV-weekend,Amsterdam,Hotel,3.0,4.5,2.4,182,5.204006687076795
517,84,2018-JUNE-weekend,Amsterdam,Hotel,3.0,4.5,2.4,235,5.459585514144159
521,84,2017-NOV-weekday,Amsterdam,Hotel,3.0,4.5,2.4,99,4.59511985013459
522,85,2017-DEC-holiday,Amsterdam,Hotel,3.0,4.0,2.2,114,4.736198448394496
524,85,2017-NOV-weekday,Amsterdam,Hotel,3.0,4.0,2.2,103,4.634728988229636
526,85,2017-NOV-weekend,Amsterdam,Hotel,3.0,4.0,2.2,172,5.147494476813453
529,86,2017-DEC-holiday,Amsterdam,Hotel,3.0,3.5,0.8,136,4.912654885736052
530,86,2017-NOV-weekday,Amsterdam,Hotel,3.0,3.5,0.8,106,4.663439094112067
532,87,2017-NOV-weekday,Amsterdam,Hotel,3.0,3.9,0.8,104,4.6443908991413725
535,88,2017-DEC-holiday,Amsterdam,Hotel,3.0,4.0,0.8,136,4.912654885736052
541,93,2017-NOV-weekday,Amsterdam,Hotel,3.5,3.5,1.6,83,4.418840607796598
542,93,2017-DEC-holiday,Amsterdam,Hotel,3.5,3.5,1.6,105,4.653960350157523
547,93,2017-NOV-weekend,Amsterdam,Hotel,3.5,3.5,1.6,178,5.181783550292085
550,95,2017-DEC-holiday,Amsterdam,Hotel,3.0,4.1,2.6,131,4.875197323201151
553,95,2018-JUNE-weekend,Amsterdam,Hotel,3.0,4.1,2.6,234,5.455321115357702
554,95,2017-NOV-weekend,Amsterdam,Hotel,3.0,4.1,2.6,207,5.332718793265369
555,95,2017-NOV-weekday,Amsterdam,Hotel,3.0,4.1,2.6,111,4.709530201312334
588,100,2017-NOV-weekday,Amsterdam,Hotel,2.0,3.5,0.9,112,4.718498871295094
589,100,2017-DEC-holiday,Amsterdam,Hotel,2.0,3.5,0.9,192,5.2574953720277815
590,101,2017-NOV-weekday,Amsterdam,Hotel,3.0,3.9,0.5,138,4.927253685157205
592,102,2017-DEC-holiday,Amsterdam,Hotel,3.0,4.1,0.9,172,5.147494476813453
593,102,2017-NOV-weekday,Amsterdam,Hotel,3.0,4.1,0.9,127,4.844187086458591
594,103,2017-DEC-holiday,Amsterdam,Hotel,3.0,3.5,0.5,156,5.049856007249537
595,103,2017-NOV-weekday,Amsterdam,Hotel,3.0,3.5,0.5,188,5.236441962829949
597,104,2017-NOV-weekday,Amsterdam,Hotel,2.0,3.2,0.4,145,4.976733742420574
598,104,2017-DEC-holiday,Amsterdam,Hotel,2.0,3.2,0.4,127,4.844187086458591
601,105,2017-DEC-holiday,Amsterdam,Hotel,4.0,3.7,0.5,188,5.236441962829949
602,105,2017-NOV-weekday,Amsterdam,Hotel,4.0,3.7,0.5,219,5.389071729816501
604,106,2017-NOV-weekday,Amsterdam,Hotel,3.0,2.9,0.6,99,4.59511985013459
606,106,2017-DEC-holiday,Amsterdam,Hotel,3.0,2.9,0.6,152,5.0238805208462765
619,109,2017-DEC-holiday,Amsterdam,Hotel,4.0,4.8,0.2,190,5.247024072160486
621,110,2017-NOV-weekday,Amsterdam,Hotel,2.0,4.1,0.2,121,4.795790545596741
623,111,2017-NOV-weekday,Amsterdam,Hotel,4.0,4.8,0.3,324,5.780743515792329
626,111,2017-DEC-holiday,Amsterdam,Hotel,4.0,4.8,0.3,324,5.780743515792329
629,111,2018-JUNE-weekend,Amsterdam,Hotel,4.0,4.8,0.3,540,6.29156913955832
630,112,2017-NOV-weekend,Amsterdam,Hotel,4.0,4.8,0.5,544,6.298949246855942
631,112,2017-DEC-holiday,Amsterdam,Hotel,4.0,4.8,0.5,323,5.777652323222656
634,112,2017-NOV-weekday,Amsterdam,Hotel,4.0,4.8,0.5,312,5.7430031878094825
636,113,2017-NOV-weekend,Amsterdam,Hotel,5.0,4.9,0.6,675,6.51471269087253
638,113,2017-DEC-holiday,Amsterdam,Hotel,5.0,4.9,0.6,675,6.51471269087253
639,113,2018-JUNE-weekend,Amsterdam,Hotel,5.0,4.9,0.6,864,6.761572768804055
645,113,2017-NOV-weekday,Amsterdam,Hotel,5.0,4.9,0.6,577,6.3578422665081
646,114,2017-NOV-weekday,Amsterdam,Apartment,3.0,3.5,1.0,139,4.9344739331306915
647,115,2017-NOV-weekday,Amsterdam,Hotel,4.0,4.6,0.3,342,5.834810737062605
648,115,2017-DEC-holiday,Amsterdam,Hotel,4.0,4.6,0.3,506,6.226536669287466
650,116,2017-NOV-weekday,Amsterdam,Hotel,4.0,4.9,0.3,219,5.389071729816501
651,116,2017-DEC-holiday,Amsterdam,Hotel,4.0,4.9,0.3,323,5.777652323222656
652,117,2017-DEC-holiday,Amsterdam,Hotel,4.0,4.0,0.4,263,5.572154032177765
653,117,2017-NOV-weekday,Amsterdam,Hotel,4.0,4.0,0.4,184,5.214935757608986
655,118,2017-NOV-weekday,Amsterdam,Hotel,5.0,4.8,0.4,355,5.872117789475416
659,118,2017-NOV-weekend,Amsterdam,Hotel,5.0,4.8,0.4,553,6.315358001522335
660,118,2018-JUNE-weekend,Amsterdam,Hotel,5.0,4.8,0.4,552,6.313548046277095
662,118,2017-DEC-holiday,Amsterdam,Hotel,5.0,4.8,0.4,407,6.008813185442595
663,119,2017-DEC-holiday,Amsterdam,Hotel,2.5,3.7,0.7,130,4.867534450455582
664,119,2017-NOV-weekday,Amsterdam,Hotel,2.5,3.7,0.7,110,4.700480365792417
666,120,2017-NOV-weekday,Amsterdam,Hotel,2.0,3.0,0.6,107,4.672828834461906
667,120,2017-DEC-holiday,Amsterdam,Hotel,2.0,3.0,0.6,139,4.9344739331306915
669,121,2017-NOV-weekday,Amsterdam,Hotel,2.0,3.0,0.6,91,4.51085950651685
671,121,2017-DEC-holiday,Amsterdam,Hotel,2.0,3.0,0.6,100,4.605170185988092
673,121,2017-NOV-weekend,Amsterdam,Hotel,2.0,3.0,0.6,277,5.6240175061873385
678,121,2018-JUNE-weekend,Amsterdam,Hotel,2.0,3.0,0.6,314,5.749392985908253
680,122,2017-DEC-holiday,Amsterdam,Hotel,2.5,3.0,0.6,114,4.736198448394496
681,122,2017-NOV-weekday,Amsterdam,Hotel,2.5,3.0,0.6,114,4.736198448394496
682,123,2017-DEC-holiday,Amsterdam,Hotel,3.0,3.5,0.4,146,4.983606621708336
683,123,2017-NOV-weekday,Amsterdam,Hotel,3.0,3.5,0.4,167,5.117993812416755
689,125,2017-NOV-weekend,Amsterdam,Hotel,3.0,4.0,1.0,263,5.572154032177765
690,125,2017-NOV-weekday,Amsterdam,Hotel,3.0,4.0,1.0,109,4.6913478822291435
691,125,2017-DEC-holiday,Amsterdam,Hotel,3.0,4.0,1.0,134,4.897839799950911
692,126,2017-DEC-holiday,Amsterdam,Hotel,5.0,4.6,0.4,430,6.063785208687608
