date,year,month,ps,pn,us,un,emps,empn
2004-10-01,2004,10,213.868721165349,215.73785,5.9,5.7,14841,14897.2
2004-11-01,2004,11,216.022334186737,216.58175,5.9,5.8,14865.6,14973.2
2004-12-01,2004,12,218.129146731323,217.33847999999998,5.8,5.6,14860.3,15012.9
2005-01-01,2005,01,221.47135023872798,219.40767999999997,5.8,6.1,14881.8,14685.5
2005-02-01,2005,02,225.207352641805,222.28893,5.7,6.1,14908.3,14802.7
2005-03-01,2005,03,229.746942951928,226.75259,5.6,5.9,14929.3,14907.3
2005-04-01,2005,04,233.443603892474,231.58678999999998,5.5,5.3,14979.4,14965.3
2005-05-01,2005,05,237.105491751902,236.67652999999999,5.4,5,14985.4,15023.3
2005-06-01,2005,06,240.583383225227,241.69702,5.3,5.4,15000.9,15094.5
2005-07-01,2005,07,244.262614946479,246.36617,5.3,5.5,15066.5,14984.7
2005-08-01,2005,08,248.283856301964,251.09562000000003,5.3,5.2,15097.6,15044.9
2005-09-01,2005,09,252.841120831304,255.84527000000003,5.2,5,15136.4,15159.1
2005-10-01,2005,10,257.743261569354,260.15581000000003,5.2,4.9,15148.3,15207.8
2005-11-01,2005,11,261.66329592613897,262.56457,5.2,5.2,15189.3,15300.2
2005-12-01,2005,12,265.41912443526,264.76966,5.1,4.9,15214.7,15373.3
2006-01-01,2006,01,268.208807365133,265.92041,5,5.3,15214.6,15018.8
2006-02-01,2006,02,271.233819775401,267.74606,5,5.3,15248.9,15145.4
2006-03-01,2006,03,272.084450113535,268.23174,4.9,5.2,15259.3,15230
2006-04-01,2006,04,273.089418185818,270.43792,4.9,4.8,15270.6,15234.1
2006-05-01,2006,05,272.930777940399,272.12391,4.9,4.5,15311.7,15346.4
2006-06-01,2006,06,272.2182122695,273.21757,4.9,4.9,15342.9,15435.4
2006-07-01,2006,07,271.494045380966,273.84899,4.9,5.2,15345.3,15266.2
2006-08-01,2006,08,270.58773477646497,273.80133,4.9,5,15373.8,15320.3
2006-09-01,2006,09,270.434958106198,273.93983,4.9,4.6,15385.5,15408.8
2006-10-01,2006,10,270.99825489749503,273.6625,4.9,4.4,15379.8,15444.8
2006-11-01,2006,11,271.902021630523,273.05079,4.9,4.7,15382.5,15510.6
2006-12-01,2006,12,270.32174010742295,270.02539,4.9,4.7,15392.9,15556
2007-01-01,2007,01,270.804846661209,268.68161000000003,4.9,5.4,15408.6,15215.9
2007-02-01,2007,02,270.136804189869,266.62676,5,5.3,15434.1,15327.2
2007-03-01,2007,03,268.74768858813303,264.5839,5,5.2,15469.2,15433.7
2007-04-01,2007,04,266.429544082243,263.36574,5.1,5,15425.2,15386.2
2007-05-01,2007,05,264.244758594804,263.18858,5.1,4.7,15443.7,15478.1
2007-06-01,2007,06,261.32297807710603,262.12342,5.2,5.3,15462.1,15552.6
2007-07-01,2007,07,258.489022321611,260.84047000000004,5.3,5.7,15505.6,15424.2
2007-08-01,2007,08,254.848639361809,258.07131,5.4,5.4,15485.7,15434.9
2007-09-01,2007,09,251.299410437374,254.7869,5.5,5.3,15485.4,15496.3
2007-10-01,2007,10,247.006590438685,249.49995,5.7,5.4,15467,15536.8
2007-11-01,2007,11,239.233178895785,240.42612999999997,5.7,5.5,15475,15605.9
2007-12-01,2007,12,233.113871578643,233.02667999999997,5.8,5.8,15481.4,15648.7
2008-01-01,2008,01,226.111858671034,224.41481000000002,5.9,6.4,15430.5,15243.4
2008-02-01,2008,02,217.772016810861,214.83112999999997,6,6.3,15442.1,15335.9
2008-03-01,2008,03,210.581792058368,207.11192,6.2,6.5,15425.4,15388.9
2008-04-01,2008,04,205.101161555065,202.44507,6.4,6.1,15433.2,15400.6
2008-05-01,2008,05,199.433358914496,198.53645,6.7,6.4,15397.2,15436.8
2008-06-01,2008,06,195.133735309417,195.70396000000002,7,7,15375.4,15463.1
2008-07-01,2008,07,190.676320830228,192.55158,7.3,7.6,15347.2,15253.3
2008-08-01,2008,08,186.649440018747,189.17581,7.6,7.8,15291.5,15241.4
2008-09-01,2008,09,181.845447675788,184.53907,8,7.7,15264,15268.9
2008-10-01,2008,10,178.06705043541,179.82182,8.4,8,15164.2,15241.3
2008-11-01,2008,11,174.950154363696,175.85446000000002,8.8,8.4,15064.7,15182.5
2008-12-01,2008,12,171.443568077365,171.39539,9.3,9.1,14985,15143.7
2009-01-01,2009,01,167.831092760274,166.54672,9.9,10.5,14851.9,14688.7
2009-02-01,2009,02,165.54598512887802,163.16561000000002,10.4,10.9,14725.9,14623.5
2009-03-01,2009,03,163.741972428176,160.88504,10.8,11.2,14632.8,14602.5
2009-04-01,2009,04,161.546757785232,159.37386999999998,11.2,10.8,14537.3,14537.2
2009-05-01,2009,05,159.837559619268,159.17623,11.4,11,14493.7,14545.2
2009-06-01,2009,06,160.311494269034,160.90125,11.7,11.8,14432,14515.2
2009-07-01,2009,07,162.21141378483,163.97128999999998,11.8,12.1,14320.8,14223.3
2009-08-01,2009,08,164.258732397308,166.62116,12,12,14279.7,14202.6
2009-09-01,2009,09,165.52906569233102,168.03293,12.1,11.9,14230.5,14220.7
2009-10-01,2009,10,166.888553960584,168.43423,12.3,12.1,14265.8,14352.1
2009-11-01,2009,11,168.917183186557,169.71902,12.4,12,14252.2,14374
2009-12-01,2009,12,171.584912269514,171.38477,12.5,12.2,14233.7,14382.9
2010-01-01,2010,01,174.441060467516,172.96527,12.6,13.1,14203,14048.5
2010-02-01,2010,02,174.46714120166197,171.80517,12.6,13,14187.2,14089.5
2010-03-01,2010,03,173.67419967503702,170.60996,12.6,13,14189.9,14158.3
2010-04-01,2010,04,174.03973278113602,171.7779,12.5,12.3,14286.3,14289.7
2010-05-01,2010,05,175.156905840992,174.67363,12.5,11.9,14331.2,14382.7
2010-06-01,2010,06,174.796339708493,175.65784,12.4,12.3,14316.9,14395.8
2010-07-01,2010,07,174.230410921843,176.27129,12.3,12.7,14287.9,14187.3
2010-08-01,2010,08,172.96656158871997,175.55238,12.4,12.5,14284.3,14209.8
2010-09-01,2010,09,172.788998474122,175.36219,12.4,12.1,14274.1,14266
2010-10-01,2010,10,172.595446040043,174.04512,12.4,12.1,14332.4,14413.4
2010-11-01,2010,11,172.686434211804,173.28247,12.4,12.5,14334.1,14464.1
2010-12-01,2010,12,171.434434184627,170.99312,12.4,12.2,14349.7,14494.2
2011-01-01,2011,01,171.508481094426,169.88096000000002,12.3,12.7,14359.1,14197.6
2011-02-01,2011,02,170.94696600578501,168.23181,12.2,12.4,14374.8,14280.4
2011-03-01,2011,03,170.70255692239098,167.74768999999998,12.1,12.3,14371,14339.6
2011-04-01,2011,04,170.12994801015302,168.18001,12,11.7,14399.4,14405.3
2011-05-01,2011,05,169.203306493886,169.07171,12,11.5,14403.8,14452.1
2011-06-01,2011,06,168.559929908332,169.65908000000002,12,12.2,14397.4,14471
2011-07-01,2011,07,167.96270856103598,170.04883,12,12.4,14441.9,14324.1
2011-08-01,2011,08,166.923329928755,169.37767,11.9,12.1,14454.9,14370.6
2011-09-01,2011,09,165.728457300287,168.00375,11.8,11.7,14482.5,14467.3
2011-10-01,2011,10,164.286094382763,165.50743,11.6,11.4,14492.9,14574.8
2011-11-01,2011,11,163.61387343083402,163.92773,11.5,11.1,14516.4,14655.2
2011-12-01,2011,12,162.80582838611,162.11392,11.3,11.2,14538.6,14677.8
2012-01-01,2012,01,162.45190587655398,160.76121,11.2,11.5,14594.8,14435
2012-02-01,2012,02,162.111739806546,159.52538,11,11.4,14619.4,14532.1
2012-03-01,2012,03,162.32697040827298,159.72206,11,11.2,14659.1,14626.2
2012-04-01,2012,04,163.67907152276,162.16423999999998,10.9,10.4,14675.4,14664.3
2012-05-01,2012,05,165.541526412162,165.75766000000002,10.8,10.3,14715.6,14763.2
2012-06-01,2012,06,167.256472894022,168.56627,10.7,10.9,14762.9,14830.2
2012-07-01,2012,07,168.663502613931,170.79023,10.5,11.1,14781.5,14657.9
2012-08-01,2012,08,170.649259080378,173.00625,10.3,10.6,14802.6,14737.5
2012-09-01,2012,09,172.71155577735803,174.78626,10.2,9.8,14829.4,14803.1
2012-10-01,2012,10,174.790993196201,175.8537,10,9.8,14861.9,14945.7
2012-11-01,2012,11,176.542912947191,176.57595,9.9,9.5,14900.2,15061.5
2012-12-01,2012,12,179.57551946803102,178.58757,9.8,9.7,14931.9,15084
2013-01-01,2013,01,182.18398367451698,180.22965,9.7,10.3,14957.2,14796.1
2013-02-01,2013,02,184.874882716351,182.0408,9.5,9.8,15007.5,14921.8
2013-03-01,2013,03,188.974529325135,186.30325,9.4,9.5,15035.8,14999.8
2013-04-01,2013,04,193.85569857326303,192.55935,9.3,8.8,15076.7,15065
2013-05-01,2013,05,196.94516810416098,197.53669,9.2,8.7,15104.5,15148.1
2013-06-01,2013,06,200.333069611104,202.0763,9.1,9.4,15128,15178.6
2013-07-01,2013,07,203.841451100597,206.33463,9,9.4,15157.8,15032.3
2013-08-01,2013,08,207.929951572041,210.48632999999998,8.9,9,15205.3,15145.7
2013-09-01,2013,09,210.76627051377702,212.8312,8.8,8.6,15224.2,15200.6
2013-10-01,2013,10,213.689025395302,214.64741,8.6,8.6,15257.1,15344.3
2013-11-01,2013,11,215.07378421362,214.78954,8.5,8.3,15313.1,15482.3
2013-12-01,2013,12,216.162204509894,214.8358,8.4,8,15345.4,15498.1
2014-01-01,2014,01,216.517629732574,214.23174,8.2,8.5,15382.6,15229.6
2014-02-01,2014,02,218.285035065923,215.2498,8.1,8.4,15416.5,15327
2014-03-01,2014,03,220.125557918526,217.60698997333,8,8.4,15450.6,15410.7
2014-04-01,2014,04,220.49856652674302,219.54073366834598,7.8,7.3,15488.8,15477.3
2014-05-01,2014,05,220.835180259678,221.751634267562,7.7,7.3,15521.5,15564
2014-06-01,2014,06,221.458649493622,223.396336943638,7.6,7.6,15552,15595.3
2014-07-01,2014,07,222.042717196076,224.56259255817298,7.5,8,15563.8,15436
2014-08-01,2014,08,222.097467385827,224.431051626535,7.4,7.7,15626,15573.6
2014-09-01,2014,09,222.78209912764402,224.468392216906,7.3,7.1,15669.7,15645.4
2014-10-01,2014,10,224.501650395441,225.107592559169,7.2,6.9,15701.4,15799.9
2014-11-01,2014,11,226.330056498246,225.772220923476,7.1,6.9,15749.3,15914.4
2014-12-01,2014,12,227.99351590796903,226.568798054165,6.9,6.6,15780.5,15938.7
2015-01-01,2015,01,228.175541140381,225.91859565835,6.8,7.3,15811.6,15661.7
2015-02-01,2015,02,230.315464506311,227.566304930095,6.7,6.9,15843.9,15757.5
2015-03-01,2015,03,231.629878257872,229.65697964067797,6.6,6.8,15888.2,15845.8
2015-04-01,2015,04,233.091339555783,232.562612499003,6.5,6.2,15912,15919.1
2015-05-01,2015,05,234.230715270793,235.29239270656,6.4,6.2,15963.3,16000
2015-06-01,2015,06,235.140077264937,237.08719753737702,6.3,6.4,15999.7,16038.5
2015-07-01,2015,07,235.658439023713,238.061647523495,6.2,6.6,16089.4,15980.4
2015-08-01,2015,08,236.22927544133302,238.222875030664,6,6.1,16144.3,16077.4
2015-09-01,2015,09,237.291686677266,238.59342609117198,5.9,5.7,16168.7,16142.5
2015-10-01,2015,10,238.58249005605302,238.872584230974,5.8,5.7,16225.2,16330.6
2015-11-01,2015,11,240.095977746012,239.375899727352,5.8,5.7,16257.9,16424.4
2015-12-01,2015,12,241.61602391897802,240.164965111133,5.7,5.6,16281.4,16448
2016-01-01,2016,01,243.345379886604,241.17712558424998,5.7,5.9,16297.3,16150.2
2016-02-01,2016,02,245.22409755892002,242.800051781918,5.6,5.8,16342.8,16261.6
2016-03-01,2016,03,245.82331333836498,244.365985445286,5.6,5.9,16328.7,16283.8
2016-04-01,2016,04,246.374530224025,246.23529125079702,5.5,5.4,16427.2,16431
2016-05-01,2016,05,246.881265264839,247.98738724787202,5.5,5,16449.6,16481.3
2016-06-01,2016,06,247.708458415806,249.564000490807,5.5,5.7,16437.8,16468.6
2016-07-01,2016,07,248.898085332116,251.058212146456,5.5,5.8,16521.2,16394
2016-08-01,2016,08,250.14279616881802,251.79432540525798,5.5,5.6,16536,16469.5
2016-09-01,2016,09,251.460716182498,252.415220606699,5.5,5.4,16557,16552.6
2016-10-01,2016,10,252.052565985338,252.09507981741902,5.5,5.3,16593.3,16694.2
2016-11-01,2016,11,253.17132279837898,252.41325730921199,5.4,5.1,16619.3,16786.8
2016-12-01,2016,12,254.465828038312,253.02816777290198,5.4,5.2,16637.4,16793
2017-01-01,2017,01,256.007296142743,253.99417652827802,5.3,5.7,16631.5,16462.4
2017-02-01,2017,02,256.860376149603,254.78526211672002,5.2,5.5,16675.8,16581.8
2017-03-01,2017,03,258.31676723437,257.319167832951,5.1,5.2,16716.2,16671.5
2017-04-01,2017,04,258.833263446705,259.034729424613,5,4.7,16746.7,16728.1
2017-05-01,2017,05,260.65685747108,261.713492351091,4.9,4.4,16797.2,16823.5
2017-06-01,2017,06,261.602508204558,263.348283694442,4.8,4.9,16840.6,16873.4
2017-07-01,2017,07,264.428075671842,266.238058420407,4.8,5.2,16848.7,16721.5
2017-08-01,2017,08,265.478979889737,266.85292146145304,4.7,5,16872.9,16804.1
2017-09-01,2017,09,267.108992871746,267.838648552461,4.7,4.4,16898.7,16889.2
2017-10-01,2017,10,268.326687604014,268.278284921647,4.6,4.3,16940.3,17042.2
2017-11-01,2017,11,270.76761412260504,270.010861758198,4.5,4.3,16959.6,17151.1
2017-12-01,2017,12,273.008430887874,271.579593357598,4.5,4.3,16998.4,17175.7
2018-01-01,2018,01,274.775957504482,272.857728475314,4.4,4.8,17037,16867.4
2018-02-01,2018,02,277.381439289193,275.510646060475,4.4,4.7,17084.8,16996.2
2018-03-01,2018,03,278.653961677213,277.942479276432,4.3,4.5,17092.7,17047.5
2018-04-01,2018,04,279.873656689644,280.330541391408,4.3,4.1,17108.8,17086.9
2018-05-01,2018,05,280.259289780776,281.28837448285196,4.2,3.7,17125.7,17146.7
2018-06-01,2018,06,281.02844112991903,282.702166817759,4.2,4.4,17168.3,17202
2018-07-01,2018,07,281.455570460207,282.915360058899,4.2,4.5,17168.9,17040.4
2018-08-01,2018,08,281.894600489883,283.09919868302103,4.2,4.4,17205.7,17149.1
2018-09-01,2018,09,281.932827665159,282.529320762659,4.2,3.9,17242.4,17199.3
2018-10-01,2018,10,282.684714020341,282.660548704843,4.3,4,17269.8,17371.5
2018-11-01,2018,11,282.172804498226,281.50035370429003,4.3,4,17280,17474.7
2018-12-01,2018,12,283.011713623577,281.603080637059,4.3,4.2,17309.1,17489.2
