,hotel_id,city,distance,stars,rating,country,city_actual,rating_reviewcount,center1label,center2label,neighbourhood,ratingta,ratingta_count,distance_alter,accommodation_type
12,13,Amsterdam,1.4,3.0,3.9,Netherlands,Amsterdam,9.0,City centre,Montelbaanstoren,Amsterdam,,,1.1,Apartment
13,14,Amsterdam,1.7,4.0,3.7,Netherlands,Amsterdam,100.0,City centre,Montelbaanstoren,Amsterdam RAI - World Trade Center,3.5,525.0,1.9,Hotel
14,15,Amsterdam,1.7,4.0,4.5,Netherlands,Amsterdam,52.0,City centre,Montelbaanstoren,Amsterdam RAI - World Trade Center,4.0,296.0,2.0,Hotel
15,16,Amsterdam,1.7,5.0,4.4,Netherlands,Amsterdam,394.0,City centre,Montelbaanstoren,Amsterdam RAI - World Trade Center,4.5,2982.0,2.0,Hotel
16,17,Amsterdam,1.7,4.0,4.1,Netherlands,Amsterdam,434.0,City centre,Montelbaanstoren,Amsterdam RAI - World Trade Center,4.0,1797.0,1.8,Hotel
17,18,Amsterdam,1.8,3.0,3.7,Netherlands,Amsterdam,170.0,City centre,Montelbaanstoren,Amsterdam RAI - World Trade Center,3.5,453.0,2.0,Hotel
18,19,Amsterdam,1.7,5.0,4.1,Netherlands,Amsterdam,374.0,City centre,Montelbaanstoren,Amsterdam RAI - World Trade Center,4.0,1498.0,2.0,Hotel
19,20,Amsterdam,2.2,3.5,4.5,Netherlands,Amsterdam,344.0,City centre,Montelbaanstoren,Amsterdam RAI - World Trade Center,4.5,889.0,2.2,Hotel
20,21,Amsterdam,2.4,3.5,3.9,Netherlands,Amsterdam,316.0,City centre,Montelbaanstoren,Amsterdam RAI - World Trade Center,4.0,1736.0,2.5,Hotel
21,22,Amsterdam,2.3,4.0,4.5,Netherlands,Amsterdam,880.0,City centre,Montelbaanstoren,Amsterdam RAI - World Trade Center,4.5,4862.0,2.4,Hotel
22,23,Amsterdam,2.5,4.0,4.8,Netherlands,Amsterdam,47.0,City centre,Montelbaanstoren,Amsterdam RAI - World Trade Center,5.0,37.0,2.9,Apart-hotel
23,24,Amsterdam,2.9,4.0,4.5,Netherlands,Amsterdam,114.0,City centre,Montelbaanstoren,Amsterdam South,4.5,658.0,3.0,Hotel
24,25,Amsterdam,1.8,2.0,2.9,Netherlands,Amsterdam,194.0,City centre,Montelbaanstoren,Amsterdam South,2.5,262.0,1.6,Hotel
25,26,Amsterdam,2.7,4.0,4.0,Netherlands,Amsterdam,375.0,City centre,Montelbaanstoren,Amsterdam South,4.0,1494.0,2.7,Hotel
26,27,Amsterdam,2.6,4.0,4.5,Netherlands,Amsterdam,14.0,City centre,Montelbaanstoren,Amsterdam South,4.5,1911.0,3.1,Hotel
27,28,Amsterdam,2.7,4.0,4.0,Netherlands,Amsterdam,629.0,City centre,Montelbaanstoren,Amsterdam South,4.0,2844.0,2.7,Hotel
28,29,Amsterdam,2.7,4.0,4.6,Netherlands,Amsterdam,305.0,City centre,Montelbaanstoren,Amsterdam South,4.5,1252.0,2.8,Hotel
29,30,Amsterdam,3.3,3.0,4.0,Netherlands,Amsterdam,120.0,City centre,Montelbaanstoren,Amsterdam South,4.0,231.0,3.6,Hotel
30,31,Amsterdam,3.2,4.0,4.0,Netherlands,Amsterdam,184.0,City centre,Montelbaanstoren,Amsterdam South,4.0,1297.0,3.3,Hotel
31,32,Amsterdam,1.9,3.0,3.5,Netherlands,Amsterdam,49.0,City centre,Montelbaanstoren,Amsterdam South,3.5,267.0,1.8,Hotel
32,33,Amsterdam,2.7,3.0,3.0,Netherlands,Amsterdam,900.0,City centre,Montelbaanstoren,Amsterdam South,3.0,1953.0,3.1,Hotel
33,34,Amsterdam,3.4,3.0,4.3,Netherlands,Amsterdam,177.0,City centre,Montelbaanstoren,Amsterdam South,4.5,732.0,3.6,Hotel
34,35,Amsterdam,3.2,2.5,2.7,Netherlands,Amsterdam,10.0,City centre,Montelbaanstoren,Amsterdam South,,,3.5,House boat
35,36,Amsterdam,4.7,2.0,3.9,Netherlands,Amsterdam,94.0,City centre,Montelbaanstoren,Amsterdam Southeast,3.5,100.0,4.4,Hotel
36,37,Amsterdam,4.5,3.5,4.5,Netherlands,Amsterdam,590.0,City centre,Montelbaanstoren,Amsterdam Southeast,4.5,679.0,4.2,Hotel
37,38,Amsterdam,4.8,3.0,4.3,Netherlands,Amsterdam,777.0,City centre,Montelbaanstoren,Amsterdam Southeast,4.0,1779.0,4.5,Hotel
38,39,Amsterdam,5.2,2.0,3.4,Netherlands,Amsterdam,237.0,City centre,Montelbaanstoren,Amsterdam Southeast,3.5,634.0,4.9,Hostel
39,40,Amsterdam,4.9,4.0,4.3,Netherlands,Amsterdam,164.0,City centre,Montelbaanstoren,Amsterdam Southeast,4.0,390.0,4.6,Hotel
40,41,Amsterdam,4.8,4.0,4.3,Netherlands,Amsterdam,176.0,City centre,Montelbaanstoren,Amsterdam Southeast,4.0,325.0,4.5,Hotel
41,42,Amsterdam,4.9,3.0,4.1,Netherlands,Amsterdam,553.0,City centre,Montelbaanstoren,Amsterdam Southeast,4.0,829.0,4.6,Hotel
42,43,Amsterdam,5.3,3.0,3.5,Netherlands,Amsterdam,34.0,City centre,Montelbaanstoren,Amsterdam Southeast,3.0,14.0,5.0,Hotel
43,44,Amsterdam,5.3,3.5,4.0,Netherlands,Amsterdam,13.0,City centre,Montelbaanstoren,Amsterdam Southeast,4.0,25.0,5.0,Hotel
44,45,Amsterdam,5.2,4.0,3.7,Netherlands,Amsterdam,366.0,City centre,Montelbaanstoren,Amsterdam Southeast,3.5,554.0,4.9,Hotel
45,46,Amsterdam,5.8,3.0,3.5,Netherlands,Amsterdam,150.0,City centre,Montelbaanstoren,Amsterdam Southeast,3.5,359.0,5.4,Hotel
46,47,Amsterdam,5.9,4.0,3.7,Netherlands,Amsterdam,144.0,City centre,Montelbaanstoren,Amsterdam Southeast,3.5,769.0,5.4,Hotel
47,48,Amsterdam,6.0,4.0,4.0,Netherlands,Amsterdam,445.0,City centre,Montelbaanstoren,Amsterdam Southeast,4.0,1020.0,5.7,Hotel
48,49,Amsterdam,0.8,2.0,3.2,Netherlands,Amsterdam,13.0,City centre,Montelbaanstoren,Amsterdam West,3.5,411.0,1.3,Hotel
49,50,Amsterdam,2.6,3.5,4.5,Netherlands,Amsterdam,382.0,City centre,Montelbaanstoren,Amsterdam West,4.5,487.0,3.2,Hotel
50,51,Amsterdam,1.2,4.0,4.5,Netherlands,Amsterdam,464.0,City centre,Montelbaanstoren,Amsterdam West,4.5,886.0,1.7,Hotel
51,52,Amsterdam,1.1,2.5,4.5,Netherlands,Amsterdam,125.0,City centre,Montelbaanstoren,Amsterdam West,4.5,328.0,1.7,Hotel
52,53,Amsterdam,2.4,1.0,4.0,Netherlands,Amsterdam,58.0,City centre,Montelbaanstoren,Amsterdam West,4.0,54.0,2.9,Hostel
53,54,Amsterdam,1.1,3.0,4.1,Netherlands,Amsterdam,115.0,City centre,Montelbaanstoren,Amsterdam West,4.5,426.0,1.7,Hotel
54,55,Amsterdam,1.0,2.0,4.3,Netherlands,Amsterdam,110.0,City centre,Montelbaanstoren,Amsterdam West,4.0,513.0,1.5,Hotel
55,56,Amsterdam,1.0,4.0,3.2,Netherlands,Amsterdam,24.0,City centre,Montelbaanstoren,Amsterdam West,3.5,15.0,1.4,Apartment
56,57,Amsterdam,1.0,4.0,3.9,Netherlands,Amsterdam,635.0,City centre,Montelbaanstoren,Amsterdam West,4.0,1287.0,1.4,Hotel
57,58,Amsterdam,1.0,3.0,3.7,Netherlands,Amsterdam,117.0,City centre,Montelbaanstoren,Amsterdam West,3.5,833.0,1.4,Hotel
58,59,Amsterdam,1.0,3.5,4.0,Netherlands,Amsterdam,183.0,City centre,Montelbaanstoren,Amsterdam West,4.0,340.0,1.4,Hotel
59,60,Amsterdam,5.2,3.0,3.5,Netherlands,Amsterdam,13.0,City centre,Montelbaanstoren,Amsterdam West,3.5,10.0,5.7,Hotel
60,61,Amsterdam,2.6,3.0,4.1,Netherlands,Amsterdam,625.0,City centre,Montelbaanstoren,Amsterdam West,4.0,879.0,3.2,Hotel
61,62,Amsterdam,2.3,4.0,4.5,Netherlands,Amsterdam,1487.0,City centre,Montelbaanstoren,Amsterdam West,4.5,4099.0,2.8,Hotel
62,63,Amsterdam,2.3,3.0,3.5,Netherlands,Amsterdam,358.0,City centre,Montelbaanstoren,Amsterdam West,3.5,337.0,2.8,Hotel
63,64,Amsterdam,1.4,2.5,4.5,Netherlands,Amsterdam,55.0,City centre,Montelbaanstoren,Amsterdam West,4.0,21.0,1.9,Hotel
64,65,Amsterdam,2.4,3.0,3.9,Netherlands,Amsterdam,929.0,City centre,Montelbaanstoren,Amsterdam West,4.0,1439.0,3.0,Hotel
65,66,Amsterdam,3.6,4.0,4.0,Netherlands,Amsterdam,565.0,City centre,Montelbaanstoren,Amsterdam West,4.0,1503.0,4.0,Hotel
66,67,Amsterdam,0.9,3.0,2.0,Netherlands,Amsterdam,1.0,City centre,Montelbaanstoren,Amsterdam West,4.0,19.0,1.4,Apartment
67,68,Amsterdam,2.4,4.0,,Netherlands,Amsterdam,,City centre,Montelbaanstoren,Amsterdam West,3.5,3.0,3.0,Hotel
68,69,Amsterdam,2.0,4.0,3.9,Netherlands,Amsterdam,8.0,City centre,Montelbaanstoren,Amsterdam West,3.5,1861.0,2.6,Hotel
69,70,Amsterdam,2.1,4.0,4.3,Netherlands,Amsterdam,416.0,City centre,Montelbaanstoren,Amsterdam West,4.5,3958.0,2.6,Hotel
70,71,Amsterdam,2.6,4.0,4.1,Netherlands,Amsterdam,377.0,City centre,Montelbaanstoren,Amsterdam West,4.0,958.0,3.2,Hotel
71,72,Amsterdam,2.7,3.0,4.3,Netherlands,Amsterdam,210.0,City centre,Montelbaanstoren,Amsterdam West,4.5,560.0,3.2,Apart-hotel
72,73,Amsterdam,0.8,3.0,3.7,Netherlands,Amsterdam,175.0,City centre,Montelbaanstoren,Amsterdam West,3.5,355.0,1.2,Hotel
73,74,Amsterdam,2.6,2.0,4.0,Netherlands,Amsterdam,798.0,City centre,Montelbaanstoren,Amsterdam West,4.0,1949.0,3.2,Hostel
74,75,Amsterdam,3.9,3.0,4.0,Netherlands,Amsterdam,297.0,City centre,Montelbaanstoren,Amsterdam West,4.0,218.0,4.4,Hotel
75,76,Amsterdam,4.0,4.0,4.0,Netherlands,Amsterdam,266.0,City centre,Montelbaanstoren,Amsterdam West,3.5,1084.0,4.4,Hotel
76,77,Amsterdam,1.4,3.0,4.0,Netherlands,Amsterdam,200.0,City centre,Montelbaanstoren,Amsterdam West,4.0,337.0,2.0,Inn
77,78,Amsterdam,4.2,3.0,3.7,Netherlands,Amsterdam,632.0,City centre,Montelbaanstoren,Amsterdam West,3.5,1091.0,4.7,Hotel
78,79,Amsterdam,3.1,2.0,2.9,Netherlands,Amsterdam,123.0,City centre,Montelbaanstoren,Amsterdam West,2.5,640.0,3.6,Hostel
79,80,Amsterdam,3.0,4.0,2.4,Netherlands,Amsterdam,5.0,City centre,Montelbaanstoren,Amsterdam West,3.5,2001.0,3.6,Hotel
80,81,Amsterdam,1.7,3.0,4.4,Netherlands,Amsterdam,568.0,City centre,Montelbaanstoren,Amsterdam West,4.5,2752.0,2.1,Hotel
81,82,Amsterdam,1.7,4.0,4.4,Netherlands,Amsterdam,403.0,City centre,Montelbaanstoren,Amsterdam West,4.5,2753.0,2.1,Hotel
82,83,Amsterdam,2.1,4.0,4.3,Netherlands,Amsterdam,960.0,City centre,Montelbaanstoren,Amsterdam West,4.0,3182.0,2.6,Hotel
83,84,Amsterdam,2.4,3.0,4.5,Netherlands,Amsterdam,463.0,City centre,Montelbaanstoren,Amsterdam West,4.5,687.0,3.0,Hotel
84,85,Amsterdam,2.2,3.0,4.0,Netherlands,Amsterdam,227.0,City centre,Montelbaanstoren,Amsterdam West,4.0,1576.0,2.7,Hotel
85,86,Amsterdam,0.8,3.0,3.5,Netherlands,Amsterdam,376.0,City centre,Montelbaanstoren,Amsterdam West,3.5,411.0,1.3,Hotel
86,87,Amsterdam,0.8,3.0,3.9,Netherlands,Amsterdam,203.0,City centre,Montelbaanstoren,Amsterdam West,4.0,321.0,1.3,Hotel
87,88,Amsterdam,0.8,3.0,4.0,Netherlands,Amsterdam,516.0,City centre,Montelbaanstoren,Amsterdam West,3.0,270.0,1.3,Hotel
88,89,Amsterdam,0.9,3.0,4.0,Netherlands,Amsterdam,23.0,City centre,Montelbaanstoren,Amsterdam West,,,1.4,Apartment
89,90,Amsterdam,2.9,4.0,3.5,Netherlands,Amsterdam,2.0,City centre,Montelbaanstoren,Amsterdam West,,,3.4,Apartment
90,91,Amsterdam,1.8,3.0,4.5,Netherlands,Amsterdam,11.0,City centre,Montelbaanstoren,Amsterdam West,,,2.4,Apartment
91,92,Amsterdam,4.7,3.5,,Netherlands,Amsterdam,,City centre,Montelbaanstoren,Amsterdam West,,,5.1,Apartment
92,93,Amsterdam,1.6,3.5,3.5,Netherlands,Amsterdam,145.0,City centre,Montelbaanstoren,Amsterdam West,3.5,72.0,2.2,Hotel
93,94,Amsterdam,2.2,2.0,3.7,Netherlands,Amsterdam,295.0,City centre,Montelbaanstoren,Amsterdam West,3.5,508.0,2.7,Hostel
94,95,Amsterdam,2.6,3.0,4.1,Netherlands,Amsterdam,469.0,City centre,Montelbaanstoren,Amsterdam West,4.0,1538.0,3.1,Hotel
95,96,Amsterdam,5.3,3.0,3.9,Netherlands,Badhoevedorp,1415.0,City centre,Montelbaanstoren,Badhoevedorp,4.0,3684.0,5.7,Hotel
96,97,Amsterdam,5.3,3.0,3.5,Netherlands,Badhoevedorp,958.0,City centre,Montelbaanstoren,Badhoevedorp,3.5,2237.0,5.7,Hotel
97,98,Amsterdam,5.7,3.0,4.0,Netherlands,Badhoevedorp,232.0,City centre,Montelbaanstoren,Badhoevedorp,4.0,323.0,6.1,Hotel
98,99,Amsterdam,5.8,4.0,4.0,Netherlands,Badhoevedorp,709.0,City centre,Montelbaanstoren,Badhoevedorp,4.0,944.0,6.2,Hotel
99,100,Amsterdam,0.9,2.0,3.5,Netherlands,Amsterdam,84.0,City centre,Montelbaanstoren,Canal Ring,3.5,223.0,0.8,Hotel
100,101,Amsterdam,0.5,3.0,3.9,Netherlands,Amsterdam,38.0,City centre,Montelbaanstoren,Canal Ring,4.0,363.0,0.5,Hotel
101,102,Amsterdam,0.9,3.0,4.1,Netherlands,Amsterdam,90.0,City centre,Montelbaanstoren,Canal Ring,4.0,1048.0,0.7,Hotel
102,103,Amsterdam,0.5,3.0,3.5,Netherlands,Amsterdam,791.0,City centre,Montelbaanstoren,Canal Ring,3.5,2892.0,0.5,Hotel
103,104,Amsterdam,0.4,2.0,3.2,Netherlands,Amsterdam,93.0,City centre,Montelbaanstoren,Canal Ring,2.5,212.0,0.5,Hotel
104,105,Amsterdam,0.5,4.0,3.7,Netherlands,Amsterdam,438.0,City centre,Montelbaanstoren,Canal Ring,3.5,1820.0,0.5,Hotel
105,106,Amsterdam,0.6,3.0,2.9,Netherlands,Amsterdam,160.0,City centre,Montelbaanstoren,Canal Ring,3.0,367.0,1.1,Hotel
106,107,Amsterdam,0.4,4.0,4.3,Netherlands,Amsterdam,59.0,City centre,Montelbaanstoren,Canal Ring,4.5,110.0,1.0,Guest House
107,108,Amsterdam,0.3,3.0,4.8,Netherlands,Amsterdam,29.0,City centre,Montelbaanstoren,Canal Ring,5.0,119.0,0.8,Guest House
108,109,Amsterdam,0.2,4.0,4.8,Netherlands,Amsterdam,431.0,City centre,Montelbaanstoren,Canal Ring,4.5,1233.0,0.8,Hotel
109,110,Amsterdam,0.2,2.0,4.1,Netherlands,Amsterdam,143.0,City centre,Montelbaanstoren,Canal Ring,4.0,288.0,0.8,Hotel
110,111,Amsterdam,0.3,4.0,4.8,Netherlands,Amsterdam,280.0,City centre,Montelbaanstoren,Canal Ring,5.0,1140.0,0.8,Hotel
111,112,Amsterdam,0.5,4.0,4.8,Netherlands,Amsterdam,552.0,City centre,Montelbaanstoren,Canal Ring,4.5,2794.0,0.7,Hotel
112,113,Amsterdam,0.6,5.0,4.9,Netherlands,Amsterdam,150.0,City centre,Montelbaanstoren,Canal Ring,5.0,1363.0,0.6,Hotel
113,114,Amsterdam,1.0,3.0,3.5,Netherlands,Amsterdam,33.0,City centre,Montelbaanstoren,Canal Ring,3.5,83.0,1.0,Apartment
114,115,Amsterdam,0.3,4.0,4.6,Netherlands,Amsterdam,190.0,City centre,Montelbaanstoren,Canal Ring,4.5,681.0,0.9,Hotel
115,116,Amsterdam,0.3,4.0,4.9,Netherlands,Amsterdam,373.0,City centre,Montelbaanstoren,Canal Ring,5.0,2640.0,0.9,Hotel
116,117,Amsterdam,0.4,4.0,4.0,Netherlands,Amsterdam,189.0,City centre,Montelbaanstoren,Canal Ring,4.0,226.0,0.9,Hotel
117,118,Amsterdam,0.4,5.0,4.8,Netherlands,Amsterdam,116.0,City centre,Montelbaanstoren,Canal Ring,4.5,619.0,0.9,Hotel
118,119,Amsterdam,0.7,2.5,3.7,Netherlands,Amsterdam,113.0,City centre,Montelbaanstoren,Canal Ring,2.5,277.0,0.6,Hotel
119,120,Amsterdam,0.6,2.0,3.0,Netherlands,Amsterdam,100.0,City centre,Montelbaanstoren,Canal Ring,3.0,295.0,1.0,Hotel
120,121,Amsterdam,0.6,2.0,3.0,Netherlands,Amsterdam,251.0,City centre,Montelbaanstoren,Canal Ring,3.5,376.0,1.0,Hotel
121,122,Amsterdam,0.6,2.5,3.0,Netherlands,Amsterdam,275.0,City centre,Montelbaanstoren,Canal Ring,3.0,563.0,1.0,Hotel
122,123,Amsterdam,0.4,3.0,3.5,Netherlands,Amsterdam,121.0,City centre,Montelbaanstoren,Canal Ring,3.0,342.0,0.5,Hotel
123,124,Amsterdam,0.7,1.0,2.7,Netherlands,Amsterdam,30.0,City centre,Montelbaanstoren,Canal Ring,3.0,216.0,1.1,Hostel
124,125,Amsterdam,1.0,3.0,4.0,Netherlands,Amsterdam,104.0,City centre,Montelbaanstoren,Canal Ring,4.0,404.0,1.0,Hotel
125,126,Amsterdam,0.4,5.0,4.6,Netherlands,Amsterdam,234.0,City centre,Montelbaanstoren,Canal Ring,4.5,1556.0,0.6,Hotel
126,127,Amsterdam,0.4,5.0,4.5,Netherlands,Amsterdam,54.0,City centre,Montelbaanstoren,Canal Ring,4.5,496.0,0.5,Hotel
127,128,Amsterdam,0.7,2.0,3.2,Netherlands,Amsterdam,90.0,City centre,Montelbaanstoren,Canal Ring,3.5,485.0,0.5,Hotel
128,129,Amsterdam,0.8,4.0,4.0,Netherlands,Amsterdam,369.0,City centre,Montelbaanstoren,Canal Ring,4.0,580.0,0.9,Hotel
129,130,Amsterdam,1.0,3.0,4.0,Netherlands,Amsterdam,159.0,City centre,Montelbaanstoren,Canal Ring,4.0,232.0,0.9,Hotel
130,131,Amsterdam,0.8,3.0,3.7,Netherlands,Amsterdam,179.0,City centre,Montelbaanstoren,Canal Ring,3.5,454.0,0.8,Hotel
131,132,Amsterdam,0.8,2.0,3.2,Netherlands,Amsterdam,317.0,City centre,Montelbaanstoren,Canal Ring,3.0,595.0,0.7,Hotel
132,133,Amsterdam,0.4,5.0,4.8,Netherlands,Amsterdam,271.0,City centre,Montelbaanstoren,Canal Ring,4.5,804.0,1.0,Hotel
133,134,Amsterdam,0.5,2.0,4.0,Netherlands,Amsterdam,114.0,City centre,Montelbaanstoren,Canal Ring,4.0,883.0,1.0,Hotel
134,135,Amsterdam,0.7,4.0,4.3,Netherlands,Amsterdam,461.0,City centre,Montelbaanstoren,Canal Ring,4.0,880.0,1.0,Hotel
135,136,Amsterdam,0.7,2.0,3.5,Netherlands,Amsterdam,93.0,City centre,Montelbaanstoren,Canal Ring,3.0,726.0,1.0,Hotel
136,137,Amsterdam,0.5,5.0,4.8,Netherlands,Amsterdam,180.0,City centre,Montelbaanstoren,Canal Ring,4.5,1994.0,1.0,Hotel
137,138,Amsterdam,0.6,5.0,4.3,Netherlands,Amsterdam,11.0,City centre,Montelbaanstoren,Canal Ring,4.5,449.0,1.0,Hotel
138,139,Amsterdam,0.8,1.0,2.9,Netherlands,Amsterdam,19.0,City centre,Montelbaanstoren,Canal Ring,2.5,44.0,0.7,Hotel
139,140,Amsterdam,1.1,5.0,4.5,Netherlands,Amsterdam,39.0,City centre,Montelbaanstoren,Canal Ring,4.5,996.0,0.8,Hotel
140,141,Amsterdam,0.2,2.0,2.7,Netherlands,Amsterdam,183.0,City centre,Montelbaanstoren,Canal Ring,3.0,681.0,0.8,Hotel
141,142,Amsterdam,0.3,2.5,3.0,Netherlands,Amsterdam,20.0,City centre,Montelbaanstoren,Canal Ring,3.5,123.0,0.8,Hotel
142,143,Amsterdam,0.3,2.5,3.0,Netherlands,Amsterdam,193.0,City centre,Montelbaanstoren,Canal Ring,2.5,173.0,0.8,Hotel
143,144,Amsterdam,0.3,2.0,4.5,Netherlands,Amsterdam,225.0,City centre,Montelbaanstoren,Canal Ring,4.5,1046.0,0.8,Hotel
144,145,Amsterdam,0.3,2.0,3.5,Netherlands,Amsterdam,225.0,City centre,Montelbaanstoren,Canal Ring,4.0,4019.0,0.9,Hotel
145,146,Amsterdam,0.5,4.0,3.9,Netherlands,Amsterdam,252.0,City centre,Montelbaanstoren,Canal Ring,4.0,995.0,0.5,Hotel
146,147,Amsterdam,0.5,1.0,3.5,Netherlands,Amsterdam,112.0,City centre,Montelbaanstoren,Canal Ring,3.5,298.0,0.6,Hotel
147,148,Amsterdam,0.5,4.0,3.7,Netherlands,Amsterdam,265.0,City centre,Montelbaanstoren,Canal Ring,4.0,1609.0,0.6,Hotel
148,149,Amsterdam,0.5,4.0,3.5,Netherlands,Amsterdam,260.0,City centre,Montelbaanstoren,Canal Ring,3.5,232.0,0.6,Hotel
149,150,Amsterdam,0.5,2.0,3.0,Netherlands,Amsterdam,227.0,City centre,Montelbaanstoren,Canal Ring,3.0,485.0,0.6,Hotel
150,151,Amsterdam,0.3,2.0,2.2,Netherlands,Amsterdam,94.0,City centre,Montelbaanstoren,Canal Ring,2.5,276.0,0.6,Hotel
151,152,Amsterdam,0.3,2.0,3.5,Netherlands,Amsterdam,97.0,City centre,Montelbaanstoren,Canal Ring,3.5,180.0,0.6,Hotel
152,153,Amsterdam,1.1,3.0,4.3,Netherlands,Amsterdam,50.0,City centre,Montelbaanstoren,Canal Ring,4.5,110.0,0.9,Guest House
153,154,Amsterdam,1.1,2.0,3.5,Netherlands,Amsterdam,48.0,City centre,Montelbaanstoren,Canal Ring,3.5,749.0,0.9,Hotel
154,155,Amsterdam,0.2,4.0,4.6,Netherlands,Amsterdam,523.0,City centre,Montelbaanstoren,Canal Ring,4.5,3988.0,0.7,Hotel
155,156,Amsterdam,0.4,4.0,4.4,Netherlands,Amsterdam,8.0,City centre,Montelbaanstoren,Canal Ring,4.5,109.0,0.8,Apartment
156,157,Amsterdam,0.4,2.0,2.5,Netherlands,Amsterdam,34.0,City centre,Montelbaanstoren,Canal Ring,2.5,205.0,0.8,Hotel
157,158,Amsterdam,0.4,2.0,2.9,Netherlands,Amsterdam,116.0,City centre,Montelbaanstoren,Canal Ring,3.0,317.0,0.8,Hotel
158,159,Amsterdam,0.3,4.0,4.0,Netherlands,Amsterdam,526.0,City centre,Montelbaanstoren,Canal Ring,4.0,1056.0,0.7,Hotel
159,160,Amsterdam,0.6,2.5,3.5,Netherlands,Amsterdam,38.0,City centre,Montelbaanstoren,Canal Ring,4.0,308.0,0.6,Hotel
160,161,Amsterdam,0.5,2.0,3.7,Netherlands,Amsterdam,41.0,City centre,Montelbaanstoren,Canal Ring,4.0,268.0,0.6,Hotel
161,162,Amsterdam,0.5,4.0,4.3,Netherlands,Amsterdam,28.0,City centre,Montelbaanstoren,Canal Ring,,,0.7,Apartment
162,163,Amsterdam,0.4,4.0,4.8,Netherlands,Amsterdam,8.0,City centre,Montelbaanstoren,Canal Ring,,,0.9,Apartment
163,164,Amsterdam,0.4,3.0,4.4,Netherlands,Amsterdam,7.0,City centre,Montelbaanstoren,Canal Ring,,,0.9,Apartment
164,165,Amsterdam,0.7,3.0,4.0,Netherlands,Amsterdam,5.0,City centre,Montelbaanstoren,Canal Ring,,,0.9,Apartment
165,166,Amsterdam,0.3,3.0,3.2,Netherlands,Amsterdam,4.0,City centre,Montelbaanstoren,Canal Ring,,,0.6,Apartment
166,167,Amsterdam,0.5,4.0,3.5,Netherlands,Amsterdam,493.0,City centre,Montelbaanstoren,Canal Ring,3.5,2523.0,0.7,Hotel
167,168,Amsterdam,0.5,4.0,4.0,Netherlands,Amsterdam,353.0,City centre,Montelbaanstoren,Canal Ring,4.5,114.0,0.7,Hotel
168,169,Amsterdam,0.6,3.0,3.9,Netherlands,Amsterdam,98.0,City centre,Montelbaanstoren,Canal Ring,4.0,152.0,0.8,Hotel
169,170,Amsterdam,0.9,4.0,4.8,Netherlands,Amsterdam,95.0,City centre,Montelbaanstoren,Canal Ring,4.5,371.0,0.6,Hotel
170,171,Amsterdam,1.1,4.0,4.3,Netherlands,Amsterdam,407.0,City centre,Montelbaanstoren,Canal Ring,4.5,1003.0,1.0,Hotel
171,172,Amsterdam,1.0,3.0,4.0,Netherlands,Amsterdam,326.0,City centre,Montelbaanstoren,Canal Ring,4.0,1216.0,0.9,Hotel
172,173,Amsterdam,1.0,4.0,4.4,Netherlands,Amsterdam,20.0,City centre,Montelbaanstoren,Canal Ring,4.5,486.0,1.0,Hotel
173,174,Amsterdam,1.0,4.0,4.3,Netherlands,Amsterdam,182.0,City centre,Montelbaanstoren,Canal Ring,4.5,486.0,1.0,Hotel
